timestep,employment_rate,gini_coefficient,total_hours,adoption_rate
0,1.0,0.36651332128312775,400000,0.0
1,1.0,0.36649356360767493,392070,0.0793
2,1.0,0.36649356360767493,392070,0.0793
3,1.0,0.36649356360767493,392070,0.0793
4,1.0,0.36649356360767493,392070,0.0793
5,1.0,0.36649356360767493,392070,0.0793
6,1.0,0.36649356360767493,392070,0.0793
7,1.0,0.36649356360767493,392070,0.0793
8,1.0,0.36649356360767493,392070,0.0793
9,1.0,0.36649356360767493,392070,0.0793
10,1.0,0.36649356360767493,392070,0.0793
11,1.0,0.36649356360767493,392070,0.0793
12,1.0,0.36649356360767493,392070,0.0793
13,1.0,0.36649356360767493,392070,0.0793
14,1.0,0.36649356360767493,392070,0.0793
15,1.0,0.36649356360767493,392070,0.0793
16,1.0,0.36649356360767493,392070,0.0793
17,1.0,0.36649356360767493,392070,0.0793
18,1.0,0.36649356360767493,392070,0.0793
19,1.0,0.36649356360767493,392070,0.0793
20,1.0,0.36649356360767493,392070,0.0793
21,1.0,0.36649356360767493,392070,0.0793
22,1.0,0.36649356360767493,392070,0.0793
23,1.0,0.36649356360767493,392070,0.0793
24,1.0,0.36649356360767493,392070,0.0793
25,1.0,0.36649356360767493,392070,0.0793
26,1.0,0.36649356360767493,392070,0.0793
27,1.0,0.36649356360767493,392070,0.0793
28,1.0,0.36649356360767493,392070,0.0793
29,1.0,0.36649356360767493,392070,0.0793
30,1.0,0.36649356360767493,392070,0.0793
31,1.0,0.36649356360767493,392070,0.0793
32,1.0,0.36649356360767493,392070,0.0793
33,1.0,0.36649356360767493,392070,0.0793
34,1.0,0.36649356360767493,392070,0.0793
35,1.0,0.36649356360767493,392070,0.0793
36,1.0,0.36649356360767493,392070,0.0793
37,1.0,0.36649356360767493,392070,0.0793
38,1.0,0.36649356360767493,392070,0.0793
39,1.0,0.36649356360767493,392070,0.0793
40,1.0,0.36649356360767493,392070,0.0793
41,1.0,0.36649356360767493,392070,0.0793
42,1.0,0.36649356360767493,392070,0.0793
43,1.0,0.36649356360767493,392070,0.0793
44,1.0,0.36649356360767493,392070,0.0793
45,1.0,0.36649356360767493,392070,0.0793
46,1.0,0.36649356360767493,392070,0.0793
47,1.0,0.36649356360767493,392070,0.0793
48,1.0,0.36649356360767493,392070,0.0793
49,1.0,0.36649356360767493,392070,0.0793
50,1.0,0.36649356360767493,392070,0.0793
